,category,term,tf_idf
91,Красота,04,0.0002009120216599536
92,Мужчинам,04,3.73570061176584e-05
93,Красота,040,0.00010563555871494477
94,Автотовары,0410,0.0003385247609632983
95,Автотовары,0411,0.0003385247609632983
96,Автотовары,04111,0.0003385247609632983
97,Автотовары,0414,0.00016926238048164914
98,Для ремонта,042мм,0.00032183112449507643
99,Мужчинам,044,0.0008249460812907007
100,Мужчинам,045,0.00047139776073754324
101,Для ремонта,0458,0.00032183112449507643
102,Автотовары,04w,0.00016926238048164914
103,Продукты,04кг,0.0005277078410659967
104,Для ремонта,04мм,0.0016091556224753821
105,Автотовары,05,0.0001437987802134992
106,Для ремонта,05,0.00027341529172306654
107,Дом,05,3.409042413143465e-05
108,Здоровье,05,8.20124503678169e-05
109,Зоотовары,05,0.0001302370926334446
110,Игрушки,05,6.327695125991315e-05
111,Канцтовары,05,0.0005202846975392671
112,Красота,05,0.00017948778041707155
113,Мужчинам,05,2.5030083027214233e-05
114,Продукты,05,0.0004483201975445245
115,Сад и дача,05,8.033633556032456e-05
116,Автотовары,0509,0.0003385247609632983
117,Автотовары,0510,0.0003385247609632983
118,Автотовары,0512,0.0003385247609632983
119,Автотовары,0512v,0.0003385247609632983
120,Автотовары,0513,0.0003385247609632983
121,Продукты,0515,0.00017590261368866553
122,Автотовары,05151,0.0003385247609632983
123,Бытовая техника,0517ad,0.0004793768599784952
124,Автотовары,0520000620,0.00016926238048164914
125,Бытовая техника,0524,0.0004793768599784952
126,Зоотовары,053,0.00047359018271167725
127,Красота,053,8.15854847910717e-05
128,Для ремонта,053х1005м,0.0009654933734852292
129,Продукты,055,0.00017590261368866553
130,Для ремонта,055772,0.00032183112449507643
131,Детям,0569,0.00024530839076008566
132,Электроника,057h,0.0001584121149759833
133,Бытовая техника,0593ad,0.0004793768599784952
134,Автотовары,05кг,0.00010818425246318525
135,Продукты,05кг,0.0003372850963234308
136,Сад и дача,05кг,0.00012087900043827265
137,Дом,05л,0.00010258910528549732
138,Продукты,05л,0.00011242836544114359
139,Сад и дача,05л,0.00012087900043827265
140,Продукты,05лх12,0.00017590261368866553
141,Канцтовары,05мм,0.0008165542276313326
142,Для ремонта,05х1250х2050мм,0.00032183112449507643
143,Автотовары,06,0.0006453325477414092
144,Детям,06,0.0001336095460964896
145,Красота,06,0.0001150708217343973
146,Продукты,06,9.580703007878048e-05
147,Бытовая техника,0600833303,0.0003702370110476268
148,Сад и дача,0600833303,0.0001460662975005266
149,Бытовая техника,06008a6100,0.0003702370110476268
150,Сад и дача,06008a6100,0.0001460662975005266
151,Автотовары,06008a7901,0.00013072637222235378
152,Сад и дача,06008a7901,0.0001460662975005266
153,Автотовары,06008a7a00,0.00013072637222235378
154,Сад и дача,06008a7a00,0.0001460662975005266
155,Автотовары,06008a7b00,0.00013072637222235378
156,Сад и дача,06008a7b00,0.0001460662975005266
157,Автотовары,06008a7d00,0.00013072637222235378
158,Сад и дача,06008a7d00,0.0001460662975005266
159,Автотовары,06008a7e,0.00013072637222235378
160,Сад и дача,06008a7e,0.0001460662975005266
161,Бытовая техника,06008c1a00,0.0007404740220952535
162,Сад и дача,06008c1a00,0.0002921325950010532
163,Для ремонта,06081,0.0006436622489901529
164,Автотовары,061,0.0003385247609632983
165,Автотовары,0610,0.0003385247609632983
166,Для ремонта,06148,0.00032183112449507643
167,Игрушки,06306,9.93092095679102e-05
168,Бытовая техника,0634226,0.0003702370110476268
169,Сад и дача,0634226,0.0001460662975005266
170,Бытовая техника,0634228,0.0003702370110476268
171,Сад и дача,0634228,0.0001460662975005266
172,Бытовая техника,0634300,0.0003702370110476268
173,Сад и дача,0634300,0.0001460662975005266
174,Автотовары,0634301,0.00013072637222235378
175,Сад и дача,0634301,0.0001460662975005266
176,Автотовары,0634302,0.00013072637222235378
177,Сад и дача,0634302,0.0001460662975005266
178,Бытовая техника,0634306,0.0007404740220952535
179,Сад и дача,0634306,0.0002921325950010532
180,Для ремонта,0650220,0.00032183112449507643
181,Для ремонта,0650221,0.00032183112449507643
182,Сад и дача,0650941,0.00018912426622707312
183,Сад и дача,0650942,0.00037824853245414623
184,Дом,065л,0.00016050835289558324
185,Красота,066,0.00021127111742988953
186,Зоотовары,06кг,0.000306598432801956
187,Дом,06л,0.00016050835289558324
188,Канцтовары,06мм,0.0004082771138156663
189,Автотовары,07,0.0006382763219166388
190,Для ремонта,07,0.00015170026694390302
191,Канцтовары,07,0.0007697918869729504
192,Красота,07,0.00029875809832191586
193,Продукты,07,0.00024874356227570885
194,Автотовары,071,0.00016926238048164914
195,Бытовая техника,0726,0.0009587537199569904
196,Бытовая техника,0726w,0.0009587537199569904
197,Бытовая техника,0735,0.0009587537199569904
198,Здоровье,075,0.00014911378382671556
199,Электроника,075,0.00012234638936279085
200,Для ремонта,075л,0.0006436622489901529
201,Продукты,07л,0.0005277078410659967
202,Автотовары,08,0.0002785929768155597
203,Бытовая техника,08,0.0001972544431578284
204,Для ремонта,08,0.0007945642506313116
205,Женщинам,08,5.834538660528459e-05
206,Красота,08,4.34670194821612e-05
207,Продукты,08,0.00043428344181720645
208,Автотовары,080101t,0.0003385247609632983
209,Электроника,0809,0.0001584121149759833
210,Автотовары,0811,0.00016926238048164914
211,Автотовары,0812,0.0003385247609632983
212,Автотовары,0813,0.00016926238048164914
213,Бытовая техника,0826,0.0009587537199569904
214,Автотовары,085,0.00016926238048164914
215,Бытовая техника,0860a,0.0004793768599784952
216,Сад и дача,089562000000,0.00018912426622707312
217,Автотовары,08квт1,0.0003385247609632983
218,Дом,08х15,0.0008025417644779162
219,Автотовары,09,0.00018438072792611692
220,Игрушки,09,0.00010817940937492465
221,Канцтовары,09,0.00022237200973629242
222,Красота,09,0.00040274787607039056
223,Красота,0915top,0.00010563555871494477
224,Автотовары,0946,0.00016926238048164914
225,Сад и дача,096l,0.00018912426622707312
226,Автотовары,09kbt,0.0003385247609632983
227,Автотовары,09kw,0.0003385247609632983
228,Автотовары,09kw1,0.0003385247609632983
229,Зоотовары,09л,0.000919795298405868
230,Электроника,09м,0.0001584121149759833
231,Автотовары,0w20,0.0006770495219265965
232,Автотовары,0w30,0.00016926238048164914
233,Автотовары,0w40,0.00016926238048164914
234,Автотовары,1,0.00029024003814584026
235,Аксессуары,1,1.793865953897863e-05
236,Бытовая техника,1,0.00033802034694615184
237,Детям,1,0.0001926289617518468
238,Для ремонта,1,0.00011862302070792148
239,Дом,1,0.00010031718697848217
240,Женщинам,1,1.1361610546406177e-05
241,Здоровье,1,0.0002846531234439564
242,Зоотовары,1,9.826820577931933e-05
243,Игрушки,1,0.00015914852780582592
244,Канцтовары,1,0.00017665742692432148
245,Книги,1,0.00024316728182793688
246,Красота,1,0.00019467988201258407
247,Мебель,1,0.00015477029872068226
248,Мужчинам,1,1.3220219446699092e-05
249,Продукты,1,0.0005384169953987475
250,Сад и дача,1,0.00016366435986764385
251,Товары для взрослых,1,2.472892253899242e-05
252,Электроника,1,6.854333901736122e-05
253,Ювелирные изделия,1,3.1681924785345486e-06
254,Автотовары,10,7.05256167457182e-05
255,Аксессуары,10,3.288754248812749e-05
256,Бытовая техника,10,0.0002458329795972013
257,Детям,10,3.9312033010580976e-05
258,Для ремонта,10,0.00013409558862634603
259,Дом,10,6.687812465232144e-05
260,Женщинам,10,9.089288437124942e-06
261,Здоровье,10,5.878705810255621e-05
262,Зоотовары,10,8.352797491242144e-05
263,Игрушки,10,3.5012676117281705e-05
264,Канцтовары,10,0.0002093717652436403
265,Книги,10,3.9627260742330456e-05
266,Красота,10,3.8935976402516815e-05
267,Мебель,10,2.3450045260709434e-05
268,Мужчинам,10,2.0774630559098572e-05
269,Продукты,10,0.00016067941747501888
270,Сад и дача,10,8.78938228918828e-05
271,Товары для взрослых,10,0.00012982684332971022
272,Электроника,10,5.0772843716563867e-05
273,Ювелирные изделия,10,4.118650222094913e-05
274,Автотовары,100,4.0687855814837426e-05
275,Аксессуары,100,3.587731907795726e-05
276,Бытовая техника,100,7.682280612412541e-05
277,Детям,100,3.144962640846478e-05
278,Для ремонта,100,0.00023724604141584296
279,Дом,100,9.260048028782969e-05
280,Женщинам,100,1.2497771601046795e-05
281,Здоровье,100,0.0002722769006855235
282,Зоотовары,100,3.439387202276177e-05
283,Игрушки,100,4.6153073063689515e-05
284,Канцтовары,100,0.00017665742692432148
285,Книги,100,3.0621065119073535e-05
286,Красота,100,0.00013542948313918893
287,Мужчинам,100,1.3220219446699092e-05
288,Обувь,100,2.3864105732175128e-05
289,Продукты,100,0.0001945066632592334
290,Сад и дача,100,3.940067922739574e-05
291,Товары для взрослых,100,9.891569015596968e-05
292,Электроника,100,2.7925064044110128e-05
293,Ювелирные изделия,100,3.168192478534549e-05
294,Автотовары,1000,6.222447188918915e-05
295,Бытовая техника,1000,0.00044057297113479977
296,Дом,1000,0.0001475157602107293
297,Здоровье,1000,0.0005323252469421866
298,Зоотовары,1000,0.00011271214258518079
299,Игрушки,1000,9.127047459559362e-05
300,Канцтовары,1000,0.00015009140081411363
301,Книги,1000,8.263975898924541e-05
302,Красота,1000,0.0005048405845154918
303,Продукты,1000,0.0009376506731064973
304,Сад и дача,1000,6.952612597035937e-05
305,Электроника,1000,0.00011647136436555963
306,Здоровье,10000,0.0004936039442083361
307,Продукты,10000,0.00011242836544114359
308,Электроника,10000,0.000404997169271099
309,Дом,100000,0.0003210167057911665
310,Игрушки,1000000,9.93092095679102e-05
311,Электроника,10000mah,0.0007920605748799165
312,Автотовары,1000gph,0.0003385247609632983
313,Электроника,1000m,0.0001584121149759833
314,Дом,1000mah,0.00016050835289558324
315,Зоотовары,1000г,0.00023679509135583862
316,Продукты,1000г,0.0009509837531860609
317,Красота,1000гр,8.15854847910717e-05
318,Продукты,1000гр,0.001086838575069784
319,Здоровье,1000мг,0.0001930701019546847
320,Зоотовары,1000мл,0.00023679509135583862
321,Красота,1000мл,8.15854847910717e-05
322,Для ремонта,1000мм,0.0004971195046857246
323,Мебель,1000мм,0.00045205714835402813
324,Книги,1001,0.00011239791921303292
325,Игрушки,10010098,9.93092095679102e-05
326,Зоотовары,100150,0.000306598432801956
327,Книги,1002,0.00011239791921303292
328,Для ремонта,100210см,0.0002485597523428623
329,Сад и дача,100210см,0.0001460662975005266
330,Книги,1002й,0.00011239791921303292
331,Для ремонта,10055см,0.00032183112449507643
332,Электроника,1005g1,0.0006336484599039332
333,Бытовая техника,1006di,0.0009587537199569904
334,Дом,1008265002,0.00016050835289558324
335,Электроника,100m,0.0006336484599039332
336,Красота,100ml,0.00010563555871494477
337,Для ремонта,100s,0.00032183112449507643
338,Автотовары,100t,0.00016926238048164914
339,Автотовары,100v,0.0006770495219265965
340,Сад и дача,100vt,0.00018912426622707312
341,Для ремонта,100w,0.0006170962417722981
342,Дом,100w,0.00010258910528549732
343,Зоотовары,100w,0.0003919255083696502
344,Канцтовары,100x146мм,0.0004082771138156663
345,Дом,100x32xh34см,0.0001239653762739075
346,Сад и дача,100x32xh34см,0.0001460662975005266
347,Автотовары,100y,0.0003385247609632983
348,Зоотовары,100ватт,0.000919795298405868
349,Электроника,100вт,0.0001584121149759833
350,Детям,100г,0.0006680477304824479
351,Здоровье,100г,0.0003154723970962393
352,Продукты,100г,0.002874210902363414
353,Сад и дача,100г,0.0008240666301918411
354,Бытовая техника,100гр,0.0001729825678897984
355,Детям,100гр,0.0002655577202485158
356,Здоровье,100гр,6.966911590260065e-05
357,Красота,100гр,3.8118465308910505e-05
358,Продукты,100гр,0.0003173712412376097
359,Сад и дача,100гр,0.0001364905315776009
360,Ювелирные изделия,100гр,7.133846030312401e-05
361,Красота,100гр1шт,0.00010563555871494477
362,Красота,100гр2шт,0.00010563555871494477
363,Канцтовары,100л,0.0012248313414469985
364,Дом,100м,0.00016050835289558324
365,Здоровье,100мл,0.0005257873284937321
366,Игрушки,100мл,0.000162269114062387
367,Красота,100мл,0.0006328895195391852
368,Сад и дача,100мл,0.00020601665754796028
369,Для ремонта,100мм,0.0004971195046857246
370,Сад и дача,100мм,0.0001460662975005266
371,Для ремонта,100ок,0.00032183112449507643
372,Для ремонта,100с,0.0006436622489901529
373,Для ремонта,100ск,0.00032183112449507643
374,Аксессуары,100см,0.00011924199700075454
375,Зоотовары,100см,0.0005878882625544753
376,Игрушки,100см,6.34735997995666e-05
377,Автотовары,100сс,0.00016926238048164914
378,Для ремонта,100х100,0.00032183112449507643
379,Аксессуары,100х100см,0.00018656305151807238
380,Красота,100х140,0.00021127111742988953
381,Для ремонта,100х150,0.00032183112449507643
382,Для ремонта,100х180,0.00032183112449507643
383,Дом,100х200,0.000247930752547815
384,Здоровье,100х200,0.0004473413514801467
